"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","DBChecker","Тестирование среднего значения для параметра ""INT_VALUE""","0","0","1","0","0"
"","DBChecker","Тестирование среднего значения для параметра ""FLOAT_VALUE""","0","0","1","0","0"
"","DBChecker","Тестирование NULL значений","0","0","6","0","0"
"","DBChecker","Тестирование количества неуникальных комбинаций ID, INT_VALUE","0","0","1","0","0"
"","DBChecker","Тестирование количества 0","0","0","3","0","0"
"","DBChecker","Тестирование количества записей","0","0","1","0","0"
